throughput_mbps,bytes_per_packet,packet_rate,port_asymmetry,rx_throughput_mbps,utilization,jitter_mbps,burstiness,rx_tx_ratio,tx_error_rate,rx_error_rate,idle_flag,traffic_type
2.430123,242.0,1255.229,0.0,0.000168,0.024301,0.142464,0.058331,6.9e-05,0.0,0.0,0,GAMING
0.020535,1094.5,2.3453,25.0,0.020291,0.000205,0.011598,0.994595,0.988122,0.0,0.0,0,ICMP
11.628626,1357.17,1071.0339,0.0,0.0,0.116286,0.709256,0.066106,0.0,0.0,0.0,0,VIDEO
10.430521,1358.0,960.0995,0.0,0.000168,0.104305,2.77719,0.318514,1.6e-05,0.0,0.0,0,VIDEO
17.415974,1500.0,88.2408,12.5,0.040767,0.17416,32.095888,0.764137,0.002341,0.0,0.0,0,HTTP
0.018388,1025.0,2.2424,0.0,0.0,0.000184,0.007879,1.661533,0.0,0.0,0.0,0,ICMP
0.041336,1442.0,3.5833,0.0,0.041502,0.000413,0.021925,0.91657,1.004007,0.0,0.0,0,ICMP
2.707113,242.0,1398.3023,0.0,0.000188,0.027071,0.237938,0.09317,6.9e-05,0.0,0.0,0,GAMING
2.297871,241.94,1187.2144,0.0,0.0,0.022979,0.626071,0.300317,0.0,0.0,0.0,0,GAMING
10.364331,1357.19,954.5774,0.0,0.0,0.103643,0.777236,0.074175,0.0,0.0,0.0,0,VIDEO
0.042708,1442.0,3.7022,0.0,0.042862,0.000427,0.02174,1.000305,1.003606,0.0,0.0,0,ICMP
2.527258,241.91,1305.8952,0.0,0.0,0.025273,0.061815,0.025408,0.0,0.0,0.0,0,GAMING
2.454474,241.94,1268.1255,0.0,0.0,0.024545,0.958163,0.521989,0.0,0.0,0.0,0,GAMING
2.252431,241.94,1163.7384,0.0,0.0,0.022524,0.119102,0.049433,0.0,0.0,0.0,0,GAMING
10.067269,1358.0,926.6632,0.0,0.000241,0.100673,0.26158,0.025539,2.4e-05,0.0,0.0,0,VIDEO
0.045923,1260.7,4.5534,13.0435,0.045676,0.000459,0.02321,0.993073,0.99462,0.0,0.0,0,ICMP
0.043678,1442.0,3.7862,0.0,0.043836,0.000437,0.022218,0.956127,1.003606,0.0,0.0,0,ICMP
0.02375,1442.0,2.0587,0.0,0.024035,0.000237,0.011531,1.000945,1.01202,0.0,0.0,0,ICMP
2.46485,241.91,1273.6414,0.0,0.0,0.024649,0.052719,0.021653,0.0,0.0,0.0,0,GAMING
2.64959,241.94,1368.938,0.0,0.0,0.026496,0.155066,0.064113,0.0,0.0,0.0,0,GAMING
0.194386,66.07,367.7461,0.0,58.77706,0.001944,0.094808,0.822745,2.0,0.0,0.0,0,HTTP
2.47693,241.91,1279.8849,0.0,0.0,0.024769,0.112913,0.046485,0.0,0.0,0.0,0,GAMING
0.043225,1442.0,3.747,0.0,0.043471,0.000432,0.021749,0.950734,1.005694,0.0,0.0,0,ICMP
0.070919,66.0,134.3161,0.0,22.620565,0.000709,0.093494,0.711482,2.0,0.0,0.0,0,HTTP
0.043028,1252.45,4.2943,13.6364,0.042784,0.00043,0.021298,0.941429,0.994338,0.0,0.0,0,ICMP
9.620118,1358.0,885.5042,0.0,0.000234,0.096201,0.598217,0.057305,2.4e-05,0.0,0.0,0,VIDEO
2.333124,242.0,1205.1261,0.0,0.00016,0.023331,1.036761,0.578614,6.8e-05,0.0,0.0,0,GAMING
0.172611,65.97,327.0441,0.0,65.36693,0.001726,0.080678,0.626679,2.0,0.0,0.0,0,HTTP
0.1636,66.07,309.5074,0.0,49.153624,0.001636,0.087179,0.771558,2.0,0.0,0.0,0,HTTP
0.045349,1260.7,4.4964,13.0435,0.045105,0.000453,0.022946,0.993077,0.99462,0.0,0.0,0,ICMP
70.810492,1500.0,473.1067,11.4105,0.221297,0.708105,28.918037,1.202953,0.003125,0.0,0.0,0,HTTP
0.043592,1315.64,4.1417,9.0909,0.043435,0.000436,0.022496,0.990232,0.996407,0.0,0.0,0,ICMP
2.368992,241.91,1224.1119,0.0,0.0,0.02369,0.087686,0.036089,0.0,0.0,0.0,0,GAMING
1.44864,241.43,750.0301,0.0,0.000917,0.014486,0.627195,1.731115,0.000633,0.0,0.0,0,GAMING
0.037587,1442.0,3.2582,0.0,0.037738,0.000376,0.020556,0.918839,1.004007,0.0,0.0,0,ICMP
2.332177,241.94,1204.9369,0.0,0.0,0.023322,0.151964,0.061961,0.0,0.0,0.0,0,GAMING
0.047335,1260.7,4.6934,13.0435,0.047081,0.000473,0.019659,0.8286,0.99462,0.0,0.0,0,ICMP
2.359382,242.0,1218.689,0.0,0.000242,0.023594,0.129684,0.052931,0.000103,0.0,0.0,0,GAMING
49.623747,1500.0,246.9371,13.0435,0.11333,0.496237,26.539001,0.609498,0.002284,0.0,0.0,0,HTTP
0.028255,1228.15,2.8757,15.3846,0.028071,0.000283,0.016763,0.711958,0.993486,0.0,0.0,0,ICMP
2.558454,241.91,1322.0083,0.0,0.0,0.025585,0.109255,0.044861,0.0,0.0,0.0,0,GAMING
0.048683,1260.7,4.827,13.0435,0.048421,0.000487,0.017254,0.739946,0.99462,0.0,0.0,0,ICMP
2.407675,241.91,1244.0982,0.0,0.0,0.024077,0.156733,0.063737,0.0,0.0,0.0,0,GAMING
0.021027,66.8,39.3449,0.0,4.243902,0.00021,0.108178,0.920055,2.0,0.0,0.0,0,HTTP
